,DMB006,MB002,MB511H,RCMB28,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000268020.3|OR4G4P,0,0,0,1,3,0,1,3
ENSG00000290826.1|ENSG00000290826,0,0,0,0,0,0,0,2
ENSG00000240361.3|OR4G11P,0,0,1,0,1,0,7,4
ENSG00000186092.7|OR4F5,0,0,0,1,4,0,3,9
ENSG00000223972.6|DDX11L1,0,0,0,0,0,0,0,0
ENSG00000237613.2|FAM138A,0,30,19,10,3,1,31,122
ENSG00000290825.1|DDX11L2,70,10,15,19,14,38,21,53
ENSG00000227232.5|WASH7P,1620,1284,2007,1466,723,1083,600,1764
ENSG00000278267.1|MIR6859-1,62,27,46,24,34,19,27,47
ENSG00000243485.5|MIR1302-2HG,25,11,15,22,19,26,20,36
ENSG00000284332.1|MIR1302-2,1,0,1,1,1,1,1,1
ENSG00000239945.1|ENSG00000239945,0,0,0,0,0,0,0,0
ENSG00000238009.6|ENSG00000238009,203,65,88,109,96,108,61,103
ENSG00000241860.7|ENSG00000241860,1203,490,354,218,434,256,175,371
ENSG00000233750.3|CICP27,12,16,3,9,34,13,15,27
ENSG00000268903.1|ENSG00000268903,133,77,63,40,60,24,28,61
ENSG00000269981.1|ENSG00000269981,33,23,14,10,27,19,9,23
ENSG00000239906.1|ENSG00000239906,28,25,11,11,12,5,8,12
ENSG00000222623.1|RNU6-1100P,3,2,1,1,1,2,2,0
ENSG00000241599.1|ENSG00000241599,0,0,0,0,3,0,0,5
ENSG00000279928.2|DDX11L17,24,4,6,6,0,5,4,16
ENSG00000279457.4|WASH9P,1755,1452,2242,1650,864,1211,642,2017
ENSG00000273874.1|MIR6859-2,45,17,29,15,32,25,20,33
ENSG00000272438.1|ENSG00000272438,0,7,15,65,0,10,0,11
ENSG00000241180.1|ENSG00000241180,0,0,0,0,0,0,0,0
ENSG00000223764.2|LINC02593,0,14,1282,182,5,607,117,663
ENSG00000230699.2|ENSG00000230699,0,60,138,329,36,114,36,82
ENSG00000272512.1|ENSG00000272512,3,0,4,21,29,7,30,3
ENSG00000188290.11|HES4,7,8,40,127,47,79,25,26
ENSG00000187583.11|PLEKHN1,3,0,0,0,0,0,0,9
ENSG00000187642.10|PERM1,0,0,9,7,15,0,8,30
ENSG00000187961.15|KLHL17,597,3677,3104,589,337,1595,323,412
ENSG00000187608.10|ISG15,0,10,6,58,0,4,4,19
ENSG00000231702.2|ENSG00000231702,63,500,819,130,22,252,42,95
ENSG00000224969.1|ENSG00000224969,0,0,0,6,2,0,1,0
ENSG00000237330.3|RNF223,0,0,0,0,14,0,0,3
ENSG00000291156.1|ENSG00000291156,5,0,2,6,4,3,2,4
ENSG00000273443.1|ENSG00000273443,0,0,0,0,0,0,0,5
ENSG00000217801.13|ENSG00000217801,0,0,0,0,2,0,0,0
ENSG00000187634.13|SAMD11,0,138,15166,742,14,1693,778,1760
ENSG00000188976.11|NOC2L,2659,12351,13233,3008,1475,6963,1539,2637
ENSG00000188157.15|AGRN,252,172,578,1084,1036,917,687,2566
ENSG00000242590.1|ENSG00000242590,0,0,0,0,0,0,0,0
ENSG00000223823.1|LINC01342,0,0,0,0,9,0,6,0
ENSG00000131591.18|C1orf159,704,776,811,480,318,828,151,472
ENSG00000285812.1|ENSG00000285812,0,1,0,2,0,0,3,1
ENSG00000207607.3|MIR200A,0,0,0,0,0,0,0,0
ENSG00000207730.3|MIR200B,0,0,0,0,0,0,0,0
ENSG00000272141.1|ENSG00000272141,0,0,0,0,0,0,2,0
ENSG00000162571.14|TTLL10,0,2,0,0,0,0,0,0
ENSG00000205231.1|TTLL10-AS1,0,0,0,2,7,0,0,5
ENSG00000186891.14|TNFRSF18,0,0,0,129,1,0,3,0
ENSG00000186827.12|TNFRSF4,0,0,3,21,4,0,0,0
ENSG00000236601.2|ENSG00000236601,0,0,0,0,6,0,0,4
ENSG00000290385.1|ENSG00000290385,1834,730,566,399,591,384,262,708
ENSG00000230021.10|ENSG00000230021,218,124,79,89,110,59,66,107
ENSG00000235146.2|ENSG00000235146,0,0,0,0,0,0,0,1
