,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000242268.2,283,18,43,0,14,24,139,7,35,80,11,104
ENSG00000188026.12,622,613,230,91,390,973,517,288,261,368,288,524
ENSG00000270112.3,96,5,28,11,7,608,75,146,19,7,5,32
ENSG00000167578.17,256,549,179,2,61,490,211,71,244,214,128,520
ENSG00000269416.5,11,569,137,0,103,0,102,305,251,69,0,389
ENSG00000263642.1,0,0,0,0,0,0,0,3,0,0,0,0
ENSG00000078237.6,424,10834,170,715,2726,1161,171,307,2050,1041,781,3262
ENSG00000158486.13,8,0,0,9,7,0,5,42,21,0,12,25
ENSG00000283967.1,3,0,0,0,0,0,0,1,0,0,1,1
ENSG00000198242.13,15157,11182,8942,76361,106637,25593,16053,6700,3968,46480,6002,14336
ENSG00000273639.6,1,0,0,0,0,0,0,12,2,0,1,2
ENSG00000231981.3,10,11,13,7,75,0,13,0,11,13,9,32
ENSG00000134108.12,1372,556,474,1148,1589,2028,734,2076,506,935,2505,4154
ENSG00000263089.1,29,2,3,0,0,3,3,79,39,0,45,43
ENSG00000276644.4,8132,32861,12282,10599,9242,11068,9740,3298,15519,21903,5562,8143
ENSG00000240423.1,3,0,0,0,0,7,0,10,3,0,0,0
ENSG00000271616.1,0,4,0,0,0,4,0,0,0,0,0,4
ENSG00000234881.1,0,0,1,0,0,0,0,1,1,0,0,0
ENSG00000236040.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231105.1,11,17,5,0,15,0,0,23,14,4,19,0
ENSG00000226746.2,27,2,3,7,12,4,15,16,20,3,11,21
ENSG00000094963.13,15,0,0,7,0,9,10,11,4,0,14,16
ENSG00000280143.1,32,44,9,26,10,178,32,23,18,21,17,58
ENSG00000251334.2,5,5,0,2,0,0,0,0,3,0,2,2
ENSG00000231112.1,6,0,0,0,0,0,0,3,0,0,0,0
ENSG00000271100.1,0,0,0,2,0,0,0,2,0,0,0,0
ENSG00000264981.1,0,0,0,0,0,0,0,0,0,0,0,0
