gene_id,BT084,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32 ,RCMB40
ENSG00000268020.3|OR4G4P,3,2,0,0,0,1,7,0
ENSG00000290826.1|ENSG00000290826,0,0,0,0,0,0,0,0
ENSG00000240361.3|OR4G11P,2,2,0,1,0,0,7,0
ENSG00000186092.7|OR4F5,8,2,0,0,0,1,9,0
ENSG00000223972.6|DDX11L1,0,0,0,0,0,0,0,0
ENSG00000237613.2|FAM138A,5,0,30,19,3,10,14,1
ENSG00000290825.1|DDX11L2,92,7,10,15,15,19,44,38
ENSG00000227232.5|WASH7P,809,691,1284,2007,2060,1466,603,1083
ENSG00000278267.1|MIR6859-1,25,30,27,46,65,24,18,19
ENSG00000243485.5|MIR1302-2HG,23,14,11,15,19,22,42,26
ENSG00000284332.1|MIR1302-2,1,1,0,1,1,1,1,1
ENSG00000239945.1|ENSG00000239945,0,0,0,0,0,0,0,0
ENSG00000238009.6|ENSG00000238009,184,76,65,88,90,109,78,108
ENSG00000241860.7|ENSG00000241860,323,222,490,354,312,218,280,256
ENSG00000233750.3|CICP27,24,9,16,3,2,9,49,13
ENSG00000268903.1|ENSG00000268903,49,39,77,63,46,40,30,24
ENSG00000269981.1|ENSG00000269981,13,17,23,14,17,10,11,19
ENSG00000239906.1|ENSG00000239906,10,5,25,11,11,11,15,5
ENSG00000222623.1|RNU6-1100P,1,1,2,1,1,1,1,2
ENSG00000241599.1|ENSG00000241599,2,0,0,0,0,0,0,0
ENSG00000279928.2|DDX11L17,32,0,4,6,0,6,0,5
ENSG00000279457.4|WASH9P,918,771,1452,2242,2343,1650,664,1211
ENSG00000273874.1|MIR6859-2,21,23,17,29,52,15,10,25
ENSG00000272438.1|ENSG00000272438,0,0,7,15,12,65,0,10
ENSG00000241180.1|ENSG00000241180,0,0,0,0,0,0,0,0
ENSG00000223764.2|LINC02593,30,13,14,1282,2,182,9,607
ENSG00000230699.2|ENSG00000230699,41,52,60,138,31,329,30,114
ENSG00000272512.1|ENSG00000272512,14,3,0,4,0,21,21,7
ENSG00000188290.11|HES4,5,0,8,40,0,127,0,79
ENSG00000187583.11|PLEKHN1,9,7,0,0,0,0,23,0
ENSG00000187642.10|PERM1,10,0,0,9,0,7,9,0
ENSG00000187961.15|KLHL17,487,296,3677,3104,1039,589,296,1595
ENSG00000187608.10|ISG15,14,0,10,6,608,58,0,4
ENSG00000231702.2|ENSG00000231702,99,63,500,819,242,130,60,252
ENSG00000224969.1|ENSG00000224969,1,0,0,0,2,6,2,0
ENSG00000237330.3|RNF223,4,0,0,0,0,0,9,0
ENSG00000291156.1|ENSG00000291156,4,0,0,2,0,6,4,3
ENSG00000273443.1|ENSG00000273443,0,0,0,0,0,0,0,0
ENSG00000217801.13|ENSG00000217801,8,0,0,0,0,0,0,0
ENSG00000187634.13|SAMD11,88,82,138,15166,5,742,19,1693
ENSG00000188976.11|NOC2L,4439,771,12351,13233,5437,3008,1249,6963
ENSG00000188157.15|AGRN,204,175,172,578,234,1084,33,917
ENSG00000242590.1|ENSG00000242590,0,0,0,0,0,0,0,0
ENSG00000223823.1|LINC01342,2,0,0,0,0,0,8,0
ENSG00000131591.18|C1orf159,303,102,776,811,932,480,193,828
ENSG00000285812.1|ENSG00000285812,0,0,1,0,0,2,11,0
ENSG00000207607.3|MIR200A,0,0,0,0,0,0,0,0
ENSG00000207730.3|MIR200B,1,0,0,0,0,0,0,0
ENSG00000272141.1|ENSG00000272141,11,0,0,0,0,0,0,0
ENSG00000162571.14|TTLL10,17,0,2,0,0,0,0,0
ENSG00000205231.1|TTLL10-AS1,7,0,0,0,0,2,4,0
ENSG00000186891.14|TNFRSF18,59,0,0,0,0,129,1,0
ENSG00000186827.12|TNFRSF4,24,0,0,3,0,21,9,0
ENSG00000236601.2|ENSG00000236601,3,0,0,0,0,0,7,0
ENSG00000290385.1|ENSG00000290385,496,308,730,566,446,399,491,384
ENSG00000230021.10|ENSG00000230021,138,57,124,79,77,89,138,59
ENSG00000235146.2|ENSG00000235146,0,0,0,0,0,0,2,0
ENSG00000228327.6|ENSG00000228327,0,0,0,0,0,0,0,0
ENSG00000237491.10|LINC01409,292,104,259,288,282,240,145,380
ENSG00000228794.12|LINC01128,680,423,1063,1018,881,1400,358,839
ENSG00000288531.1|ENSG00000288531,17,0,0,0,0,2,18,0
ENSG00000230368.2|FAM41C,20,8,14,9,14,9,11,7
ENSG00000283040.1|ENSG00000283040,0,0,0,0,0,0,0,0
ENSG00000228463.10|ENSG00000228463,677,173,221,549,474,265,322,368
ENSG00000286448.1|ENSG00000286448,4,0,0,0,0,0,14,0
ENSG00000236679.2|RPL23AP24,130,76,125,229,173,102,56,105
ENSG00000269732.1|WBP1LP7,3,1,0,0,0,1,15,0
ENSG00000284733.2|OR4F29,13,9,21,5,4,7,11,19
ENSG00000237094.13|ENSG00000237094,3,1,2,1,1,1,3,2
ENSG00000233653.3|CICP7,23,7,0,0,0,11,33,10
ENSG00000250575.1|ENSG00000250575,134,116,214,193,148,109,97,100
ENSG00000278757.1|U6,4,1,5,6,2,1,5,1
ENSG00000225972.1|MTND1P23,233,96,350,527,170,297,279,240
ENSG00000225630.1|MTND2P28,836,182,870,1122,439,777,557,779
ENSG00000237973.1|MTCO1P12,23075,9386,31148,59794,46726,37848,16252,30045
ENSG00000278791.1|ENSG00000278791,3,1,1,1,2,1,4,3
ENSG00000229344.1|MTCO2P12,3047,907,2906,5203,3897,2264,1621,3370
ENSG00000240409.1|MTATP8P1,16,7,15,21,26,16,15,17
ENSG00000248527.1|MTATP6P1,1440,345,1030,1875,1237,1107,897,1421
ENSG00000198744.5|MTCO3P12,9233,3095,12079,22601,22584,12730,6260,13633
ENSG00000268663.1|WBP1LP6,3,0,0,0,0,0,7,0
ENSG00000284662.2|OR4F16,19,9,21,8,3,7,16,18
ENSG00000229376.3|CICP3,13,4,0,0,0,7,13,4
ENSG00000291215.1|ENSG00000291215,610,440,895,792,671,655,464,549
ENSG00000223181.1|RNU6-1199P,1,1,2,2,3,2,2,0
ENSG00000229905.1|ENSG00000229905,2,0,1,0,1,1,3,0
ENSG00000285268.1|ENSG00000285268,4,13,9,10,33,8,2,7
ENSG00000290784.1|ENSG00000290784,37,21,28,96,43,38,29,105
ENSG00000230092.8|ENSG00000230092,20,19,52,0,71,156,30,62
ENSG00000177757.2|FAM87B,8,25,4,8,44,67,8,3
ENSG00000225880.6|LINC00115,266,133,339,634,327,296,263,404
ENSG00000234711.1|TUBB8P11,2,2,5,6,2,3,2,3
ENSG00000078808.20|SDF4,1703,462,2965,3006,4200,2693,668,2252
ENSG00000184163.3|C1QTNF12,25,0,9,37,12,13,0,6
ENSG00000260179.1|ENSG00000260179,11,3,7,3,4,11,11,5
ENSG00000176022.7|B3GALT6,1218,262,1855,1841,1904,1119,474,1119
ENSG00000224051.7|CPTP,256,165,185,465,770,528,103,337
ENSG00000162576.17|MXRA8,26,0,137,1566,1386,1610,7,511
ENSG00000107404.21|DVL1,1847,696,8086,10817,4381,2587,745,4868
ENSG00000169962.5|TAS1R3,18,27,8,0,22,23,0,11
ENSG00000284372.1|MIR6808,0,1,1,1,1,1,0,1
ENSG00000175756.14|AURKAIP1,1281,295,4335,3863,4473,1195,460,2088
ENSG00000223663.2|NDUFB4P8,1,0,0,0,3,2,0,0
ENSG00000160087.21|UBE2J2,1300,323,1511,1667,2068,1169,331,1067
ENSG00000162572.21|SCNN1D,102,101,76,84,359,693,77,139
ENSG00000131584.19|ACAP3,1855,1490,5477,10037,6856,9590,1481,7638
ENSG00000169972.12|PUSL1,238,42,1007,1955,909,275,91,753
ENSG00000127054.22|INTS11,2817,725,3969,4742,4651,3252,1061,2544
ENSG00000230415.1|LINC01786,12,7,10,33,64,66,17,18
ENSG00000278073.1|MIR6726,1,0,1,1,2,1,2,1
ENSG00000283712.1|MIR6727,1,1,1,1,1,1,1,1
ENSG00000240731.1|ENSG00000240731,47,16,38,57,33,71,24,25
ENSG00000221978.13|CCNL2,6645,2838,7822,13671,18412,9595,4626,8576
ENSG00000224870.9|MRPL20-AS1,668,189,766,1408,982,638,316,807
ENSG00000242485.6|MRPL20,1673,215,4135,3446,3543,857,643,2028
ENSG00000235098.9|ANKRD65,20,0,756,862,0,370,31,9
ENSG00000225905.1|ANKRD65-AS1,0,0,0,14,0,25,0,0
ENSG00000225285.1|LINC01770,1,0,7,26,0,11,6,0
ENSG00000179403.12|VWA1,48,15,105,548,29,1365,142,15
ENSG00000215915.10|ATAD3C,207,42,601,561,478,126,74,390
ENSG00000264293.2|RN7SL657P,1,1,1,1,1,1,1,1
ENSG00000272455.1|MRPL20-DT,92,22,106,299,107,60,65,132
ENSG00000205116.4|TMEM88B,15,1,0,8,0,19,22,0
ENSG00000274481.1|ENSG00000274481,1,0,0,0,0,0,2,0
ENSG00000160072.20|ATAD3B,1210,238,4623,3731,3322,1079,575,2194
ENSG00000284740.3|ENSG00000284740,0,0,0,0,0,0,0,0
ENSG00000290916.1|ENSG00000290916,58,0,174,177,209,48,10,121
ENSG00000197785.14|ATAD3A,1377,230,4629,3649,3127,809,371,2710
ENSG00000205090.9|TMEM240,69,120,0,335,229,148,46,142
ENSG00000215014.5|ENSG00000215014,31,11,111,86,120,130,39,48
ENSG00000160075.12|SSU72,3069,579,4764,6222,7031,2133,1056,3683
ENSG00000197530.13|MIB2,1119,438,3627,2374,2183,1776,432,1690
ENSG00000228594.4|FNDC10,7,23,35,232,187,166,3,47
ENSG00000286989.1|ENSG00000286989,5,0,12,45,15,43,11,16
ENSG00000272106.1|ENSG00000272106,383,157,551,870,1117,967,190,347
ENSG00000178821.13|TMEM52,0,0,102,296,0,7,2,13
ENSG00000169885.10|CALML6,9,0,14,6,4,9,12,6
ENSG00000233542.2|ENSG00000233542,6,0,0,0,0,126,8,0
ENSG00000187730.9|GABRD,16,14,7,3,3,1258,218,11
ENSG00000142609.20|CFAP74,17,1,0,30,2,17,21,20
ENSG00000226969.1|PRKCZ-DT,4,0,0,0,0,0,0,0
ENSG00000067606.17|PRKCZ,21,90,7,185,8,1534,362,0
ENSG00000162585.17|FAAP20,552,305,1043,1163,1454,587,235,656
ENSG00000234396.3|ENSG00000234396,0,0,0,0,0,0,2,0
ENSG00000271806.1|ENSG00000271806,12,2,1,1,2,8,26,3
ENSG00000182873.5|PRKCZ-AS1,24,27,0,18,13,33,11,3
ENSG00000157933.11|SKI,1527,667,1419,2168,1483,3174,468,1419
ENSG00000189409.14|MMP23B,0,5,240,41,5,31,6,80
ENSG00000248333.9|CDK11B,979,264,1304,1756,2161,780,637,1059
ENSG00000215914.4|MMP23A,0,0,149,30,0,23,0,62
ENSG00000008128.23|CDK11A,657,278,661,1565,1729,827,639,760
ENSG00000227775.3|ENSG00000227775,23,0,13,50,195,56,69,4
ENSG00000290854.1|ENSG00000290854,630,450,779,1438,1391,1576,510,1105
ENSG00000215790.9|SLC35E2A,0,0,0,16,19,173,0,16
ENSG00000008130.15|NADK,1663,335,2566,3164,3641,1086,488,2062
ENSG00000078369.19|GNB1,12868,4669,12967,20120,24712,13838,5893,15475
ENSG00000231050.3|GNB1-DT,37,10,20,41,17,54,25,18
ENSG00000272004.1|ENSG00000272004,4,1,30,11,3,4,1,2
ENSG00000189339.12|SLC35E2B,3820,1989,3446,5664,6257,6940,2538,5019
ENSG00000269737.2|ENSG00000269737,7,0,5,9,6,6,9,4
ENSG00000268575.1|ENSG00000268575,437,0,1087,0,0,0,0,880
ENSG00000197921.6|HES5,45,0,0,16,40,5,2,2
ENSG00000272449.3|ENSG00000272449,7,0,5,2,9,4,2,0
ENSG00000228037.1|ENSG00000228037,0,0,0,0,0,0,0,0
ENSG00000238164.6|TNFRSF14-AS1,10,0,0,2,0,2,15,3
ENSG00000157873.18|TNFRSF14,23,0,0,11,26,53,15,12
ENSG00000225931.3|ENSG00000225931,3,0,0,0,0,0,3,0
ENSG00000287356.1|ENSG00000287356,23,9,14,12,0,13,27,13
ENSG00000116151.14|MORN1,395,76,604,562,462,633,234,321
ENSG00000157916.20|RER1,2798,449,2993,3557,4776,2167,780,2713
ENSG00000157911.11|PEX10,967,325,1136,1762,2833,691,553,829
ENSG00000272161.1|ENSG00000272161,1,3,0,0,0,5,1,0
ENSG00000269896.2|ENSG00000269896,117,33,199,86,40,170,83,36
ENSG00000272420.1|ENSG00000272420,28,3,47,20,7,36,7,7
ENSG00000157870.17|PRXL2B,313,15,685,426,278,228,91,433
ENSG00000142606.16|MMEL1,9,0,0,0,0,4,2,0
ENSG00000289610.2|ENSG00000289610,1,0,4,2,2,1,1,4
ENSG00000237058.1|MMEL1-AS1,2,0,0,0,0,0,0,0
ENSG00000287396.1|ENSG00000287396,0,0,0,5,0,0,6,0
ENSG00000231630.1|ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000149527.18|PLCH2,664,21,7413,6726,7190,3922,104,4247
ENSG00000224387.1|ENSG00000224387,0,0,0,0,0,0,0,0
ENSG00000157881.16|PANK4,466,117,515,715,682,371,149,369
ENSG00000229393.1|ENSG00000229393,1,0,0,0,0,0,0,0
ENSG00000215912.13|TTC34,16,15,8,27,16,67,15,10
ENSG00000285945.1|ENSG00000285945,2,0,0,0,0,0,4,0
ENSG00000283259.1|ENSG00000283259,2,0,0,0,0,0,0,0
ENSG00000284745.1|ENSG00000284745,0,0,0,0,0,0,0,0
ENSG00000169717.7|ACTRT2,1,0,0,0,0,0,3,0
ENSG00000272088.1|ENSG00000272088,4,0,0,0,0,1,1,0
ENSG00000130762.15|ARHGEF16,0,2,0,0,0,25,16,0
ENSG00000238260.3|ENSG00000238260,40,9,7,24,17,29,43,18
ENSG00000177133.14|PRDM16-DT,10,0,0,0,0,8,11,2
ENSG00000142611.17|PRDM16,47,4,3,1,1,15,41,5
ENSG00000226286.1|ENSG00000226286,0,0,0,0,0,0,0,0
ENSG00000283572.1|MIR4251,1,0,0,0,0,0,0,0
ENSG00000279839.1|ENSG00000279839,4,0,1,0,1,1,12,1
ENSG00000272235.1|ENSG00000272235,16,0,0,0,0,0,17,0
ENSG00000287828.1|ENSG00000287828,2,0,0,0,0,0,3,0
ENSG00000286518.1|ENSG00000286518,7,0,0,0,0,0,7,0
